page_no,item_no,구분,제작사,차명,생산기간,대상수량,결함내용,시정방법,기타문의
5,4,해외,벤츠,E 200 등 24차종 - 인포테인먼트 컨트롤 유닛 관련 리콜,2023-03-30 ~ 2025-12-02,"56,208 대","인포테인먼트 컨트롤 유닛 소프트웨어 오류로 인해 운행 중 계기반에 꺼질 수 있으며, 이런 경우 운행 중에 운전자가 일시적으로 차량 운행 정보 확인이 불가할 수 있는 가능성이 확인됨에 따른 리콜",개선된 인포테인먼트 컨트롤 유닛 소프트웨어로 업데이트,벤츠코리아 대표번호 080-001-1886
5,5,국산,현대,아반떼 등 2차종 - 무단변속기 관련 리콜,2018-08-23 ~ 2021-10-20,"130,283 대","무단변속기 제조 불량으로 유압 제어 불안정 문제가 발생할 수 있고, 이런 경우 발진 시 구동력이 전달되지 않아 안전에 지장을 줄 수 있는 가능성이 확인됨에 따른 리콜",변속기 제어장치 소프트웨어 업데이트 및 관련 고장코드 표출 시 점검 후 변속기 교환,현대자동차 대표번호 080-600-6000
6,5,해외,아우디,A6 40 TDI 등 64차종 - 후방카메라 관련 리콜,2017-09-14 ~ 2025-09-11,"71,002 대","특정 기간 동안 생산/수입된 일부 차량에 탑재된 카메라 관련 소프트웨어 오류로 인하여 어라운드뷰 카메라 혹은 후방카메라가 일시적으로 작동하지 않을 수 있으며, 이런 경우 후진 기어 선택 또는 주차보조버튼 활성화 시 후방카메라 이미지가 표시되지 않아 운전자의 후방 보행자 인지 능력이 저하될 수 있음. 또한 충돌 가능성 증가로 후방 보행자의 안전에 영향을 줄 수 있음이 확인됨에 따른 리콜. (이는 자동차 및 자동차부품의 성능과 기준에 관한 규칙 제53조의2(후방보행자 안전장치)의 일부를 준수하지 않아 국내 자동차 인전 기준을 충족하지 않을 수 있음)",소프트웨어 업데이트,아우디코리아 대표번호 080-767-2834
7,3,해외,폭스바겐그룹,Jetta 7 PA 1.5 TSI - 타이어공기압경고장치 리콜,2024-05-02 ~ 2024-05-13,55 대,"특정 기간 동안 생산된 일부 차량에 장착된 타이어공기압경고장치에 결함이 있는 경우, 경고등이 점멸 표시되어야 하지만 지속적으로 점등될 수 있는 가능성이 확인됨에 따른 리콜 (이는 자동차 및 자동차부품의 성능과 기준에 관한 규칙 제88조의3(타이어공기압경고장치)의 일부를 준수하지 않아, 국내 자동차 안전 기준을 충족하지 않을 수 있음)",N/A,폭스바겐 대표번호 080-767-0089
7,5,해외,볼보,S60 등 4차종 - 도어 잠금 장치 관련 리콜,2010-11-16 ~ 2016-12-07,"5,427 대","차량이 고온의 기후 조건에 장시간 노출될 경우 도어 잠금장치에 적용된 플리머(고분자 중합체) 재질의 래치가 열에 의한 변형으로 파손될 수 있으며, 도어 래치가 파손된 상태에서 운전자 또는 탑승자가 승차 후 점등된 잠금장치 경고등은 인지하지 아니하고 차량을 운행할 경우 주행 중 문이 열리는 상황이 발생할 수 있음이 확인됨에 따른 리콜",4개 도어의 부품(래치)을 개선된 부품으로 교체함,볼보자동차 대표번호 1588-1777
8,1,해외,비엠더블유,BMW X3 20 xDrive 등 4차종 - 스티어링 기어 관련 리콜,2024-08-25 ~ 2025-10-03,"3,198 대","소프트웨어 오류로 인해 스티어링 기어 내 두 개 토크 센서 중 하나가 고장날 경우 해당 토크 센서 고장을 정확히 감지하지 못할 수 있으며, 이런 경우 차량이 운전자의 의도와 다르게 조향되어 안전 운전에 영향을 끼칠 수 있는 가능성이 확인됨에 따른 리콜",오류가 해결된 소프트웨어로 업데이트,비엠더블유 대표번호 080-269-5181
8,3,국산,현대,포터II LPDi - 변속 케이블 및 브라켓 관련 리콜,2024-02-01 ~ 2025-06-10,"71,677 대",N/A,N/A,현대자동차 대표번호 080-600-6000
8,5,해외,토요타,Alphard HEV 등 20차종 - 주차 보조 ECU 소프트웨어 관련 리콜,2021-04-22 ~ 2025-10-03,"34,246 대","주차 보조 ECU의 소프트웨어 오류로 시동 직후에 후진 기어 조작을 하거나, 짧은 시간내에 시동을 반복할 경우 후방 영상이 일시적으로 정지하거나 표시되지 않을 수 있고 이런 경우 후방 보행자 및 장애물과 충돌의 위험이 증가할 우려가 있음이 확인됨에 따른 리콜",대상차량에 대해 주차 보조 ECU 소프트웨어를 업데이트,토요타 대표번호 080-525-8255 / 렉서스 대표번호 080-4300-4300
9,1,해외,토요타,RAV4 HEV 2WD 등 11차종 - 계기판 소프트웨어 관련 리콜,2022-06-10 ~ 2025-05-19,"12,115 대","콤비네이션 미터(계기판)의 소프트웨어 오류로, 계기판의 메모리 장치에 불필요한 데이터가 반복적으로 기록되어 메모리 장치의 성능이 조기에 저하될 수 있으며, 이런 경우 시동 시 계기판 화면이 표시되지 않아 안전운행에 지장을 줄 수 있는 가능성이 확인됨에 따른 리콜",대상차량에 대해 점검 후 계기판 소프트웨어를 업데이트 또는 개선품으로 교환,토요타 대표번호 080-525-8255 / 렉서스 대표번호 080-4300-4300
9,3,국산,기아,카니발 하이브리드 - 하이브리드 통합 제어기(HPCU) 관련 리콜,2023-12-14 ~ 2025-04-10,"51,286 대",하이브리드 통합 제어기(HPCU) 소프트웨어 설계 오류로 인해 동절기 원격시동 및 히터 작동 등 전장 고부하 시 하이브리드 통합 제어기(HPCU) 소손 발생 가능성이 확인됨에 따른 리콜,1) 무선 OTA를 통한 하이브리드 통합 제어기(HPCU) 소프트웨어 업데이트,기아자동차 대표번호 080-200-2000
9,4,국산,현대,스타리아 하이브리드 - 하이브리드 통합 제어기(HPCU) 관련 리콜,2024-02-29 ~ 2025-08-18,"12,851 대",하이브리드 통합 제어기(HPCU) 소프트웨어 오류로 인해 동절기 원격시동 및 히터 작동 등 전장 고부하 시 하이브리드 통합 제어기(HPCU) 소손 발생 가능성이 확인됨에 따른 리콜,하이브리드 통합 제어기(HPCU) 소프트웨어 업데이트,현대자동차 대표번호 080-600-6000
9,5,해외,비엠더블유,BMW iX xDrive50 등 2차종 - 고전압 배터리 셀 모듈 관련 리콜,2021-08-23 ~ 2023-08-31,15 대,"고전압배터리 셀 모듈의 제조과정 오류로 인해 고전압 배터리 셀 모듈 프레임의 압력판이 허용된 압력을 초과하여 압축되어 측면판과 용접되었을 수 있으며, 이런 경우 시간이 지남에 따라 고전압 배터리 셀 모듈 프레임의 압력판과 측면판 사이의 용접 이음새가 파손되어 고전압 배터리 셀간 정렬이 어긋나 사전 경고 없이 고전압이 차단될 수 있으며, 화재가 발생할 수 있는 가능성이 확인됨에 따른 리콜",문제가 발생될 수 있는 고전압 배터리 특정 셀 모듈을 정상적으로 제작된 고전압 배터리 셀 모둘로 교체함,비엠더블유 대표번호 080-269-5181
10,2,해외,비엠더블유,BMW Active Tourer - 운전석 전방 에어백 모듈 관련 리콜,2014-10-17 ~ 2015-02-26,360 대,"자체 품질 조사 결과, 운전석 에어백 인플레이터의 제작결함이 발견되었으며 에어백 인플레이터 관련 부품 결함으로 차량이 고온 다습한 지역에 장기간 노출되었을 때 에어백 인플레이터 내부 압축가스 추진체가 변형되어 사고 시 극히 드문 경우 에어백이 비정상적으로 전개되어 운전자 및 조수석 탑승자에게 상해를 입힐 수 있는 가능성에 따른 리콜",운전자 에어백 모듈을 교체함,비엠더블유 대표번호 080-269-5181
10,3,해외,비엠더블유,BMW 118d 등 38차종 - 운전석 전방 에어백 모듈 관련 리콜,2009-01-13 ~ 2016-12-16,"48,736 대","최초 차량판매 당시에는 TAKATA 에어백이 적용되지 않은 스티어링 휠로 출고되었으나, 출고 이후 BMW 승인한 교체 부품 중 TAKATA 에어백이 적용된 스포츠 또는 M 스포츠 스티어링 휠을 고객이 장착했을 가능성이 확인됨. 해당 스티어링 휠은 질산암모늄을 사용한 에어백 인플레이터가 장착되어 있으며, 차량이 고온 다습한 지역에 장기간 노출되었을 때 인플레이터 내부 압축 가스 추진제가 변형되었을 수 있으며, 이런 경우 사고 시 운전석 전방 에어백이 비정상적으로 전개되어 인플레이터 분체가 파열될 수 있고 운전자에게 상해를 입할 수 있는 가능성이 확인됨에 따른 리콜",스티어링 휠을 점검하고 필요 시 운전석 전방 에어백 모듈을 교체함.,비엠더블유 대표번호 080-269-5181
10,5,해외,폭스바겐그룹,Q8 55 TFSI qu. 등 3차종 - 전방좌석 안전벨트 버클 관련 리콜,2025-03-20 ~ 2025-08-22,12 대,"특정 기간 동안 생산/수입된 일부 차량의 부품 생산 공정의 오류로 인하여, 전방 좌석 안전 벨트 버클에 리벳이 장착되지 않았을 수 있으며 이런 경우 충돌 사고 발생 시, 벨트 버클이 고정되지 않아 전방 좌석 탑승자의 상해 위험이 증가할 수 있는 가능성에 따른 리콜",전방좌석 안전 벨트 버클 교체,아우디코리아 대표번호 080-767-2834
